Epoch,Train Loss,Accuracy,Precision,Recall,F1
1,0.177049,0.6011,0.4772,0.9455,0.6343
2,0.176663,0.5973,0.4748,0.9504,0.6332
3,0.176689,0.6024,0.478,0.944,0.6347
4,0.16233,0.6063,0.4805,0.9416,0.6363
5,0.156663,0.7394,0.595,0.9006,0.7166
6,0.155259,0.7352,0.5907,0.8993,0.7131
7,0.151114,0.6109,0.4837,0.9394,0.6386
8,0.154735,0.6072,0.4812,0.9404,0.6366
9,0.157124,0.7477,0.6047,0.8956,0.722
10,0.150958,0.7392,0.5958,0.8922,0.7145
11,0.149922,0.7437,0.6056,0.8585,0.7102
12,0.150226,0.7488,0.6061,0.895,0.7227
13,0.149729,0.7492,0.6068,0.893,0.7226
14,0.149689,0.7508,0.6154,0.8501,0.714
15,0.152526,0.743,0.5993,0.8977,0.7187
16,0.149796,0.7528,0.6136,0.8758,0.7216
17,0.149515,0.7323,0.5873,0.902,0.7114
18,0.149191,0.716,0.5701,0.9098,0.7009
19,0.149252,0.7486,0.6066,0.8895,0.7213
20,0.149294,0.7534,0.6125,0.8871,0.7247
21,0.149906,0.7535,0.6199,0.8434,0.7146
22,0.153112,0.7507,0.6118,0.8717,0.719
23,0.149559,0.7511,0.6114,0.877,0.7205
24,0.154655,0.7359,0.5914,0.8994,0.7136
25,0.149446,0.7478,0.6076,0.8774,0.718
26,0.149268,0.7522,0.6109,0.889,0.7241
27,0.149347,0.7473,0.6045,0.895,0.7216
28,0.149137,0.7315,0.5866,0.9014,0.7107
29,0.149023,0.7509,0.6104,0.8827,0.7217
30,0.149177,0.7512,0.6097,0.8893,0.7234
31,0.1493,0.7517,0.6125,0.8752,0.7206
32,0.149384,0.7519,0.6101,0.8917,0.7245
33,0.149324,0.7267,0.5811,0.9063,0.7082
34,0.149033,0.7365,0.5921,0.8997,0.7142
35,0.148684,0.7509,0.6094,0.889,0.7231
36,0.14866,0.7505,0.6099,0.8822,0.7212
37,0.148848,0.7502,0.6104,0.877,0.7198
38,0.14881,0.747,0.611,0.8485,0.7105
39,0.148749,0.7495,0.6098,0.8756,0.7189
40,0.148453,0.7509,0.6107,0.8797,0.721
41,0.148601,0.75,0.611,0.8716,0.7184
42,0.148374,0.7499,0.6085,0.8866,0.7217
43,0.148514,0.7513,0.611,0.881,0.7216
44,0.148346,0.7519,0.6106,0.8887,0.7238
45,0.148774,0.7319,0.5869,0.9019,0.7111
46,0.148325,0.7489,0.6063,0.8946,0.7228
47,0.148599,0.7501,0.6079,0.8927,0.7233
48,0.148515,0.749,0.6064,0.894,0.7227
49,0.148524,0.7478,0.6114,0.8522,0.712
50,0.148487,0.7503,0.609,0.8866,0.722
